=== feasibility screen (PREREG_UNIVERSE_CURATION §2) @ 2026-06-09 23:31 UTC ===
floors (existing only): 1 contract <= $1000 | tenor 180-365d | spread <= 25% | OI >= 50 (when present) | price >= $3 | ADV >= $3M
info-only columns: cluster-fit ($2000), achieved OTM%, strike interval, half-spread % of premium

sym        spot  $/contr fits1? cl-fit wing                    dte  achOTM%  strk-gap  hspr%  spr%     OI  ADV$M floors  
UEC       10.65      213 YES    YES    UEC270115C00013000      220     22.1       1/1    8.2    16    n/a  137.6 ok      
UUUU      14.37      290 YES    YES    UUUU270115C00018000     220     25.3       1/1    6.7    13    n/a  185.4 ok      
NXE        9.93      150 YES    YES    NXE270115C00012000      220     20.8       1/1    6.7    13    n/a   73.7 ok      
DNN        2.95       50 YES    YES    DNN270115C00003500      220     18.6   0.5/0.5   10.0    20    n/a   77.8 price   
EU         1.28        - no     -      (no_eligible_contract_in_tenor_window)    -        -         -      -     -      -    4.4 price   
UROY       3.03       68 YES    YES    UROY270115C00003500     220     15.5   0.5/0.5   11.1    22    n/a   10.2 ok      
URG        1.54        - no     -      (no_eligible_contract_in_tenor_window)    -        -         -      -     -      -   20.9 price   
LEU      156.02     3105 no     no     LEU270115C00195000      220     25.0       5/5    7.6    15    n/a  160.0 ok      
SMR       10.00      282 YES    YES    SMR270115C00012000      220     20.0       1/1    3.7     7    n/a  416.3 ok      
OKLO      56.48     1460 no     YES    OKLO270319C00070000     283     23.9       5/5    6.8    14    n/a  999.0 ok      
NNE       23.94      525 YES    YES    NNE270115C00030000      220     25.3       1/1    4.8    10    n/a   80.0 ok      
LTBR       9.16      265 YES    YES    LTBR270115C00010000     220      9.2   2.5/2.5    7.5    15    n/a   10.9 ok      
BWXT     188.96     1400 no     YES    BWXT270115C00240000     220     27.0     10/10    8.6    17    n/a  192.3 ok      
MYRG     423.44     5200 no     no     MYRG270115C00520000     220     22.8     20/20    9.6    19    n/a  114.2 ok      
ITRI      82.34      995 YES    YES    ITRI261218C00090000     192      9.3       5/5   11.6    23    n/a   55.2 ok      
ATKR      80.78      625 YES    YES    ATKR270115C00100000     220     23.8       5/5    7.2    14    n/a   40.3 ok      
AMSC      40.53      915 YES    YES    AMSC270115C00050000     220     23.4       1/5    7.1    14    n/a   67.8 ok      
FLNC      23.46      700 YES    YES    FLNC270115C00029000     220     23.6       1/1    8.6    17    n/a  337.6 ok      
WLDN      98.82        - no     -      (no_eligible_contract_in_tenor_window)    -        -         -      -     -      -   34.5 ok      
MTZ      353.08     3810 no     no     MTZ270115C00440000      220     24.6     10/10    3.7     7    n/a  469.6 ok      
PRIM     103.90     1220 no     YES    PRIM261218C00130000     192     25.1       5/5   11.5    23    n/a  241.6 ok      
AZZ      144.17        - no     -      (no_eligible_contract_in_tenor_window)    -        -         -      -     -      -   29.9 ok      
AEIS     311.64     4125 no     no     AEIS270115C00390000     220     25.1     10/10    4.5     9    n/a  336.1 ok      
ENS      226.55     1505 no     YES    ENS261218C00280000      192     23.6     10/10    9.0    18    n/a  116.6 ok      
ESE      304.52     1990 no     YES    ESE261218C00350000      192     14.9     10/10   12.1    24    n/a   75.2 ok      
BDC      110.15     1010 no     YES    BDC261218C00140000      192     27.1       5/5    8.9    18    n/a   60.2 ok      
GNRC     260.99     3125 no     no     GNRC270219C00330000     255     26.4     10/10    5.0    10    n/a  222.6 ok      
SCCO     175.17     1575 no     YES    SCCO270115C00220000     220     25.6     10/10    7.3    15    n/a  247.0 ok      
HBM       25.59      370 YES    YES    HBM270115C00030000      220     17.2       5/5   10.8    22    n/a  175.6 ok      
ERO       26.26      308 YES    YES    ERO270115C00035000      220     33.3       5/5    7.3    15    n/a   39.1 ok      
TGB        6.57      102 YES    YES    TGB270115C00008000      220     21.8       1/1   12.2    24    n/a   37.3 ok      
IE        10.78      440 YES    YES    IE270115C00007500       220    -30.4   2.5/2.5    9.1    18    n/a   24.9 ok      
PL        31.17      755 YES    YES    PL270115C00039000       220     25.1       1/1    8.6    17    n/a  590.9 ok      
GSAT      81.01     1755 no     YES    GSAT270319C00065000     283    -19.8       5/5   11.1    22    n/a  105.1 ok      
LUNR      27.47      810 YES    YES    LUNR270115C00034000     220     23.8       1/1   11.7    23    n/a  625.8 ok      
RDW       15.75      470 YES    YES    RDW270115C00020000      220     27.0       1/1    2.1     4    n/a 1142.5 ok      
FLY       33.45      830 YES    YES    FLY270115C00042000      220     25.6       1/1    9.6    19    n/a  416.7 ok      
VOYG      39.47     1025 no     YES    VOYG270115C00050000     220     26.7       3/5    5.4    11    n/a  122.0 ok      
ASTS      88.71     2805 no     no     ASTS270319C00110000     283     24.0       5/5    4.3     9    n/a 2690.2 ok      
VSAT      63.94     1175 no     YES    VSAT270115C00080000     220     25.1       5/5    5.5    11    n/a  206.0 ok      
IRDM      45.10      745 YES    YES    IRDM270115C00055000     220     22.0       5/5    7.4    15    n/a  110.2 ok      
SATS     116.77     1735 no     YES    SATS270115C00145000     220     24.2       5/5    3.2     6    n/a  944.7 ok      
BKSY      31.65      870 YES    YES    BKSY270115C00040000     220     26.4       5/5    3.4     7    n/a  108.1 ok      
SPIR      16.26      435 YES    YES    SPIR270115C00020000     220     23.0       1/1    5.7    11    n/a   34.4 ok      
MRCY     108.82     1245 no     YES    MRCY270115C00135000     220     24.1       5/5   11.6    23    n/a   67.7 ok      
DRS       47.35      217 YES    YES    DRS270115C00065000      220     37.3       5/5   10.3    21    n/a   40.3 ok      
AVAV     176.51     3800 no     no     AVAV270319C00220000     283     24.6     10/10   10.5    21    n/a  246.8 ok      

=== SUMMARY: 24 candidate(s) fit one contract under the $1000 per-name cap ===
(cheapness deliberately not shown — the IV gate disposes at decision time, CGS §7)
