date,symbol,basket,surface_origin,gate_cheap,fits_one,per_contract_usd,gate_feed
2026-06-10,SMCI,ai_compute,motion,1,1,480.0,indicative
2026-06-10,VRT,ai_compute,motion,0,0,4782.0,indicative
2026-06-10,ETN,ai_compute,motion,0,0,2916.0,indicative
2026-06-10,GEV,ai_compute,motion,1,0,8226.0,indicative
2026-06-10,CCJ,ai_compute,motion,1,0,1012.0,indicative
2026-06-10,NEE,ai_compute,motion,1,1,165.0,indicative
2026-06-10,PWR,ai_compute,motion,0,0,7344.0,indicative
2026-06-10,RKLB,space_defense,motion,1,0,2908.0,indicative
2026-06-10,LHX,space_defense,motion,1,0,1324.0,indicative
2026-06-10,RTX,space_defense,motion,0,1,323.0,indicative
2026-06-10,KTOS,space_defense,motion,1,1,990.0,indicative
2026-06-10,UEC,nuclear_fuel,motion,1,1,214.0,indicative
2026-06-10,UUUU,nuclear_fuel,motion,1,1,290.0,indicative
2026-06-10,NXE,nuclear_fuel,motion,1,1,152.0,indicative
2026-06-10,UROY,nuclear_fuel,motion,1,1,110.0,indicative
2026-06-10,SMR,nuclear_fuel,motion,1,1,199.0,indicative
2026-06-10,AMSC,grid_equipment,motion,1,1,914.0,indicative
2026-06-10,FLNC,grid_equipment,motion,1,1,692.0,indicative
2026-06-10,HBM,copper_supply,motion,1,1,370.0,indicative
2026-06-10,ERO,copper_supply,motion,1,1,312.0,indicative
2026-06-10,TGB,copper_supply,motion,1,1,102.0,indicative
2026-06-10,PL,space_smallcap,motion,1,1,748.0,indicative
2026-06-10,LUNR,space_smallcap,motion,1,1,800.0,indicative
2026-06-10,RDW,space_smallcap,motion,1,1,332.0,indicative
2026-06-10,IRDM,space_smallcap,motion,1,1,732.0,indicative
